,Temperatura Agua,Temperatura Material
0,2,1
1,0,0
2,5,9
3,0,8
4,3,4
5,6,7
6,7,7
7,9,6
8,7,9
9,8,2
10,2,2
11,1,7
12,1,4
13,9,3
14,3,5
15,6,5
16,8,0
17,1,1
18,5,3
19,6,3
20,6,9
21,4,6
22,5,5
23,6,6
24,2,9
25,8,5
26,3,7
27,7,8
28,7,3
29,0,6
30,9,6
31,5,4
32,4,5
33,8,3
34,4,7
35,2,0
36,0,1
37,9,5
38,2,5
39,3,3
40,7,9
41,7,9
42,7,2
43,8,0
44,8,0
45,4,4
46,7,8
47,3,1
48,4,9
49,9,5
50,2,3
51,8,1
52,3,6
53,6,4
54,8,3
55,1,9
56,5,9
57,0,9
58,4,7
59,4,5
60,2,2
61,1,1
62,7,4
63,6,4
64,5,3
65,0,4
66,5,5
67,1,0
68,6,2
69,4,8
70,5,5
71,2,7
72,3,5
73,5,5
74,9,3
75,9,3
76,6,7
77,7,2
78,1,4
79,3,5
80,8,5
81,0,0
82,3,8
83,5,3
84,5,1
85,8,5
86,1,8
87,1,1
88,0,6
89,4,1
90,7,3
91,1,5
92,5,6
93,0,8
94,0,9
95,6,6
96,3,6
97,9,1
98,1,2
99,7,0
100,7,8
101,2,4
102,2,7
103,2,8
104,5,0
105,3,6
106,9,7
107,1,8
108,4,2
109,4,4
110,2,5
111,1,0
112,9,7
113,5,7
114,3,8
115,9,4
116,5,5
117,9,6
118,3,5
119,0,5
