,Temperatura Agua,Temperatura Material
0,4,8
1,5,8
2,9,4
3,7,6
4,7,6
5,7,7
6,6,0
7,8,7
8,2,9
9,7,3
10,9,0
11,6,1
12,7,4
13,2,8
14,3,7
15,9,9
16,3,5
17,6,9
18,8,8
19,7,3
20,3,0
21,2,2
22,1,9
23,4,5
24,5,2
25,9,4
26,7,1
27,5,5
28,8,1
29,9,4
30,5,0
31,5,8
32,3,9
33,1,4
34,7,5
35,3,4
36,5,9
37,3,7
38,5,4
39,1,4
40,7,2
41,3,7
42,9,5
43,2,9
44,8,7
45,2,5
46,5,8
47,5,8
48,1,6
49,4,3
50,2,9
51,8,6
52,8,7
53,8,7
54,4,8
55,0,6
56,7,2
57,2,5
58,2,8
59,4,7
60,7,7
61,6,2
62,8,2
63,6,5
64,2,8
65,4,0
66,1,0
67,0,5
68,0,9
69,5,9
70,5,0
71,9,0
72,9,0
73,4,6
74,4,5
75,7,9
76,6,5
77,9,6
78,9,7
79,7,8
80,0,0
81,6,5
82,4,9
83,1,7
84,9,5
85,2,5
86,3,5
87,3,6
88,4,7
89,3,5
90,2,7
91,6,2
92,8,7
93,3,4
94,0,6
95,1,9
96,3,2
97,8,8
98,7,1
99,2,4
100,3,3
101,3,4
102,1,2
103,6,7
104,2,1
105,6,3
106,2,3
107,3,4
108,4,1
109,5,6
110,9,1
111,5,2
112,9,2
113,4,5
114,0,0
115,9,7
116,7,0
117,6,5
118,5,7
119,2,4
120,5,2
121,7,8
122,5,1
123,7,6
124,0,6
125,4,2
126,6,3
127,0,8
128,7,9
129,2,3
130,0,0
131,1,9
132,2,6
133,2,8
134,5,4
135,0,1
136,0,2
137,0,5
138,0,7
139,0,9
140,0,0
141,0,5
142,7,6
143,8,7
144,7,1
145,4,5
146,7,9
147,7,8
148,8,7
149,6,7
150,4,3
151,6,4
152,8,8
153,9,7
154,0,4
155,3,0
156,0,2
157,1,2
158,5,7
159,0,2
160,6,7
161,4,5
162,0,3
163,4,5
164,6,3
165,6,7
166,8,2
167,2,1
168,2,1
169,1,0
170,0,7
171,5,3
172,2,3
173,2,3
174,5,6
175,4,8
176,2,7
177,3,4
178,7,8
179,7,9
180,8,0
181,3,8
182,6,5
183,1,1
184,0,4
185,9,0
186,9,0
187,9,0
188,1,3
189,6,3
190,0,4
191,3,1
192,4,0
193,8,4
194,2,5
195,2,3
196,0,5
197,6,6
198,9,5
199,6,3
200,9,4
201,6,2
202,8,5
203,9,0
204,9,5
205,0,1
206,5,6
207,0,1
208,0,3
209,3,7
210,8,1
211,6,5
212,3,4
213,3,2
214,7,3
215,7,5
216,7,9
217,8,2
218,7,8
219,4,7
220,9,0
221,3,9
222,7,9
223,0,3
224,7,9
225,8,1
226,7,7
227,1,5
228,8,8
229,1,4
230,0,8
231,5,0
232,1,8
233,8,0
234,7,0
235,1,1
236,3,4
237,5,5
238,6,5
239,9,9
