,Temperatura Material
0.000143051147461,27
0.501127958298,28
1.00208687782,28
1.50308895111,28
2.00405693054,28
2.50502300262,27
3.00598692894,27
3.50694584846,27
4.00793004036,27
4.50890398026,27
5.00986194611,27
5.51083397865,27
6.01184892654,28
6.51282286644,27
7.01382303238,27
7.51462984085,28
8.01560997963,27
8.51659297943,28
9.01762986183,27
9.51861095428,28
10.0195908546,27
10.5203938484,27
11.0213608742,27
11.5223338604,27
12.0233058929,27
12.5242848396,27
13.0252609253,27
13.5262448788,28
14.027312994,28
14.5282838345,27
15.029255867,27
15.5302660465,27
