,Temperatura Material
0.000227928161621,42
0.501012086868,43
1.00179505348,43
1.50258493423,43
2.00337600708,43
2.50416398048,42
3.00494194031,42
3.50575304031,43
4.00657701492,42
4.50736403465,43
5.00813698769,43
5.50893712044,43
6.00971794128,42
6.51052999496,43
7.01131296158,43
7.51216506958,42
8.01295495033,42
8.51420402527,42
9.01500892639,42
9.51601791382,42
10.0168011189,42
10.5175890923,42
11.0183730125,42
11.5191500187,42
12.019931078,42
12.5207140446,42
13.0214970112,42
13.522288084,42
14.0230710506,42
14.5238521099,42
15.0246350765,42
15.5254189968,42
16.0258350372,42
16.5267441273,42
17.0275299549,42
17.5283150673,42
18.029104948,42
18.5298850536,42
19.0306720734,42
19.5314509869,42
20.0322380066,42
20.5330181122,41
21.033798933,42
21.534580946,42
22.0353660583,42
22.5361590385,42
23.0369989872,42
23.5378088951,42
24.0385890007,41
24.5393669605,41
25.0401620865,41
25.5409429073,41
26.041768074,41
26.5425651073,40
27.0433499813,41
27.5440769196,41
28.0448629856,40
28.5456609726,41
29.0464470387,41
29.5472331047,40
30.048017025,40
30.5488009453,41
31.0495800972,40
31.5503621101,40
32.0511460304,40
32.5519449711,41
33.0527219772,40
33.5535039902,40
34.0542891026,40
34.5550670624,41
35.0558569431,40
35.5566461086,40
36.0574390888,41
36.5582079887,41
37.0589859486,41
37.5597710609,40
38.0605580807,40
38.5613389015,41
39.0621271133,41
39.5629589558,40
40.0637841225,41
40.5647420883,41
