,Temperatura Material
0.000182867050171,48
0.501046895981,47
1.00206303596,48
1.50304794312,48
2.0040640831,48
2.50502204895,48
3.00614094734,48
3.5073299408,48
4.00846195221,48
4.50945901871,48
5.01060009003,48
5.51172089577,48
6.01282906532,48
6.51391005516,47
7.01501393318,48
7.51610803604,47
8.01719808578,48
8.51832890511,48
9.0192759037,48
9.52033996582,48
10.0213859081,47
10.5224320889,48
11.0234150887,48
11.5243809223,48
12.0253460407,48
12.5263280869,47
13.0273048878,47
13.5283920765,48
14.0293560028,48
14.5303330421,48
15.0313820839,47
15.532335043,47
16.0333609581,48
16.5344209671,48
17.0354058743,48
17.5364420414,47
18.0374839306,47
18.5385549068,48
19.0395429134,47
19.5406599045,47
20.0417890549,47
20.5428938866,47
21.0439100266,47
21.5448889732,47
22.0458710194,48
22.5469138622,47
23.0479068756,47
23.5489878654,48
24.0500540733,47
24.5511460304,47
25.052120924,47
25.5531039238,47
26.05407691,47
26.5550820827,47
27.056055069,47
27.5570299625,47
28.0580260754,47
28.5591309071,47
29.0600888729,47
29.56123209,47
30.0622479916,47
30.5632479191,47
31.0642290115,47
31.5650360584,47
32.0660159588,47
32.5669920444,47
33.0679938793,47
33.5689618587,47
34.0699439049,47
34.5709269047,47
35.0714709759,47
35.5724408627,47
36.0734598637,47
36.5744788647,47
37.075304985,47
37.5762789249,47
38.0772690773,47
38.5780858994,47
39.0790500641,47
39.5800290108,47
40.0810070038,47
40.5818018913,47
41.0826020241,47
41.5836479664,47
42.08466506,47
42.5857379436,47
43.086730957,47
43.5875349045,47
44.0885839462,47
44.5895810127,47
45.0906169415,47
45.5916559696,47
46.0926430225,47
46.5936338902,47
47.0946080685,47
47.5955760479,47
48.096572876,47
48.5975549221,47
49.0985889435,47
49.5995740891,47
50.1005978584,47
50.6015939713,47
51.1025679111,47
51.6035568714,47
52.1045689583,47
52.6055920124,47
53.1066029072,47
53.6075930595,47
54.1086409092,47
54.6096520424,47
55.1106240749,47
55.6116650105,47
56.1125979424,47
56.6136748791,47
57.1144740582,47
57.6155250072,47
58.116590023,47
58.6176800728,47
59.1186928749,47
59.6197259426,47
60.1207239628,47
60.6217460632,47
61.1227428913,47
61.623734951,47
62.1247270107,47
62.6257059574,46
63.1267199516,46
63.6277768612,47
64.1288058758,46
64.6298558712,47
65.1308748722,47
65.6319139004,46
66.1327459812,46
66.6335558891,47
67.1343479156,46
67.6354470253,46
68.1362810135,46
68.637387991,47
69.1385219097,47
69.6396110058,46
70.1407449245,46
70.6417369843,46
71.1427049637,47
71.6437609196,46
72.1447460651,46
72.6457018852,46
73.1466619968,46
73.6475880146,46
74.1486549377,46
74.6497368813,47
75.1507430077,46
75.6517970562,46
76.1527810097,46
76.6537549496,46
77.154736042,46
77.6557230949,46
78.1566979885,46
78.6576910019,46
79.1586709023,46
79.6596560478,46
80.1606879234,46
80.661689043,46
81.1621859074,46
81.6631579399,46
82.1641490459,46
82.6651420593,46
83.1662979126,46
83.6670999527,46
84.1680719852,46
84.6690468788,46
85.170019865,46
85.6709899902,46
86.171959877,46
86.6729569435,46
87.1739339828,46
87.6749069691,46
